Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK-37400"
Duration Time,300.424
Ambient Temperature,"112.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"17424340"
Raw Accumulated Counts,"20723812"
Valid Count Last Packet,"52452"
Raw Count Last Packet,"63051"
Live Time,252.263168
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0497
Number of Channels,2048
Vacuum,691
Channel#,Intensity
951,"50977"
952,"49336"
953,"48473"
954,"46914"
955,"45563"
956,"43311"
957,"41759"
958,"39892"
959,"38083"
960,"36325"
961,"34621"
962,"32840"
963,"30871"
964,"29475"
965,"27676"
966,"25929"
967,"24922"
968,"23468"
969,"22237"
970,"21176"
971,"20068"
972,"19128"
973,"18292"
974,"17576"
975,"16968"
976,"16255"
977,"15813"
978,"15123"
979,"14806"
980,"14313"
981,"13821"
982,"13405"
983,"13287"
984,"13018"
985,"12659"
986,"12328"
987,"11991"
988,"11891"
989,"11691"
990,"11576"
991,"11607"
992,"11364"
993,"11389"
994,"11507"
995,"11816"
996,"12082"
997,"12305"
998,"12856"
999,"13593"
1000,"14357"
1001,"14996"
1002,"15882"
1003,"16683"
1004,"17389"
1005,"18360"
1006,"18761"
1007,"19573"
1008,"19547"
1009,"19749"
1010,"19464"
1011,"18992"
1012,"18361"
1013,"17811"
1014,"16334"
1015,"15319"
1016,"14071"
1017,"13323"
1018,"12211"
1019,"11549"
1020,"10944"
1021,"10412"
1022,"10077"
1023,"9820"
1024,"9764"
1025,"9523"
1026,"9546"
1027,"9378"
1028,"9441"
1029,"9541"
1030,"9850"
1031,"9719"
1032,"9918"
1033,"9904"
1034,"10209"
1035,"10249"
1036,"10415"
1037,"10426"
1038,"10802"
1039,"10905"
1040,"11125"
1041,"11541"
1042,"11793"
1043,"11935"
1044,"12460"
1045,"12914"
1046,"13147"
1047,"13713"
1048,"13859"
1049,"14317"
1050,"15010"
1051,"15612"
1052,"15947"
1053,"16168"
1054,"16170"
1055,"16531"
1056,"16543"
1057,"16949"
1058,"16550"
1059,"16562"
1060,"16379"
1061,"16271"
1062,"15754"
1063,"15094"
1064,"14820"
1065,"14275"
1066,"13736"
1067,"13276"
1068,"12905"
1069,"12248"
1070,"12074"
1071,"11676"
1072,"11499"
1073,"11162"
1074,"10794"
1075,"10611"
1076,"10429"
1077,"10137"
1078,"9885"
1079,"9595"
1080,"9458"
1081,"9227"
1082,"8992"
1083,"8968"
1084,"8720"
1085,"8538"
1086,"8535"
1087,"8295"
1088,"8033"
1089,"8027"
1090,"7760"
1091,"7877"
1092,"7709"
1093,"7404"
1094,"7260"
1095,"7365"
1096,"7293"
1097,"7159"
1098,"7068"
1099,"6934"
1100,"6859"
1101,"6777"
1102,"6671"
1103,"6900"
1104,"6452"
1105,"6543"
1106,"6518"
1107,"6400"
1108,"6285"
1109,"6405"
1110,"6270"
1111,"6224"
1112,"6286"
1113,"6173"
1114,"6091"
1115,"5997"
1116,"6085"
1117,"5951"
1118,"6028"
1119,"5851"
1120,"5914"
1121,"5864"
1122,"5850"
1123,"5902"
1124,"5754"
1125,"5916"
1126,"5921"
1127,"5963"
1128,"6161"
1129,"6167"
1130,"6034"
1131,"6442"
1132,"6480"
1133,"6498"
1134,"6667"
